Serial Number,Start Time,Remaining Seconds,Device's Remaining Lifetime,Event Type,Channel,Duration,H2S Peak (ppm),CO Peak (ppm),O2 Peak (%Vol),LEL Peak (%LEL),H2S TWA,H2S STEL,CO TWA,CO STEL,Start Time in UTC,Temperature,Battery Voltage in Alarm,Firmware Version,H2S Low Alarm Pt,H2S High Alarm Pt,H2S TWA Alarm Pt,H2S STEL Alarm Pt,CO Low Alarm Pt,CO High Alarm Pt,CO Twa Alarm Pt,CO STEL Alarm Pt,O2 Low Alarm Pt,O2 High Alarm Pt,LEL Low alarm Pt,LEL High Alarm Pt,O2 Low Trigger,O2 High Trigger,Total Self Tests,Total event time(seconds),Total Event Count,Number of event transfered,Device Status
KO20BC401165200673,1991-08-09 18:03,Battery Low Multi Alarm Low Alarm STEL Alarm ,,0,0,2602.7,1751.6,26027,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:55,TWA Alarm Down-scale Alarm ,,35,20.9,0,0.3,35,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2066-06-04 15:35,Battery Low Low Alarm STEL Alarm TWA Alarm ,,94.3,0.2,2.4,299.5,26752,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2027-12-02 12:08,TWA Alarm Down-scale Alarm ,,51.2,0,35,20.9,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-12 0:25,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,27,2423.8,94.3,0.6,23,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2027-12-11 14:35,Reserved Battery Low High Alarm Down-scale Alarm ,,2675.2,1749.8,51.2,0,400,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-12 0:24,Low Alarm STEL Alarm TWA Alarm ,,10,0.3,27.2,2422.6,943,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1997-10-28 12:06,,,2676.3,1749.4,2676.3,1749.4,512,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1992-01-15 6:37,High Alarm TWA Alarm ,,0,0.3,10.5,0.3,287,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-15 19:41,Battery Low Low Alarm STEL Alarm ,,2.3,299.5,2704.4,1748.4,27044,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:55,TWA Alarm Down-scale Alarm ,,36,20.9,0,0.3,189,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2007-07-22 4:00,Reserved Battery Low Multi Alarm Low Alarm TWA Alarm ,,94.3,0.8,2.2,299.5,43931,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2028-03-30 0:48,,,0.8,0,0,0,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:47,,,0,-14.1,85.8,0,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-10-24 14:19,TWA Alarm Down-scale Alarm ,,20,25.8,-3049.6,3113.3,58142,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-12-11 9:09,Calibrating Auto Zeroing STEL Alarm ,,5.8,-2575.9,-463.6,1715.6,60900,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-10-27 10:00,TWA Alarm Down-scale Alarm ,,20,25.8,-3049.6,3099.8,58142,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-12-17 23:51,Calibrating Auto Zeroing STEL Alarm ,,5.9,-1804.3,-463.6,1715.6,60900,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2028-04-01 22:12,Reserved Multi Alarm High Alarm Low Alarm STEL Alarm Down-scale Alarm ,,-1549.9,1764.2,384.2,14.7,437,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-13 7:47,,,0.4,0.4,0.8,662.9,855,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-10-28 10:04,TWA Alarm Down-scale Alarm ,,20,25.8,-3049.6,3094.9,58142,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-12-20 12:20,Calibrating Auto Zeroing STEL Alarm ,,6,659.6,-463.6,1715.6,60900,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1997-11-01 7:52,Reserved Low Alarm STEL Alarm TWA Alarm Down-scale Alarm ,,-963,1764.5,-963,1764.5,3842,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1992-01-02 9:56,Calibrating Battery Low Low Alarm STEL Alarm ,,32,0.4,1.7,0.4,21,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-10-29 10:01,TWA Alarm Down-scale Alarm ,,20,25.8,-3049.6,3090.3,58142,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-12-23 0:41,Calibrating Auto Zeroing STEL Alarm ,,6.1,-154,-463.6,1715.6,60900,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-14 13:45,Reserved Battery Low High Alarm STEL Alarm TWA Alarm ,,2.3,299.5,-757.8,1762.2,57958,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-11-29 13:24,STEL Alarm ,,50.2,18.8,31.6,0.4,33,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2000-02-16 5:08,Calibrating Battery Low High Alarm TWA Alarm Down-scale Alarm ,,85,0,2.4,299.5,2573,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-10-31 10:02,TWA Alarm Down-scale Alarm ,,20,25.8,-3049.6,3080.5,58142,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-12-28 1:32,Calibrating Auto Zeroing STEL Alarm ,,6.3,-1164.8,-463.6,1715.6,60900,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2000-02-18 5:09,Reserved Battery Low Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,85,0,2.4,299.5,60003,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2028-04-12 20:51,STEL Alarm ,,384.2,14.3,50.7,18.8,304,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-19 14:21,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,2,-1658.6,84.8,0,23,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2028-03-29 11:32,Reserved Multi Alarm High Alarm Low Alarm STEL Alarm ,,-346.6,1763.2,384.2,13.7,512,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-19 14:26,,,2.2,0.4,1.7,2697.2,847,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
